fold,cycle,arm,eff_years,donors_with_history,auc,lift@5,lift@10,lift@20
2018,midterm,all (2017+),1.4921286789869952,26363.0,0.8695455151480251,2.7643398670602477,2.7007161717072736,2.509711916442187
2018,midterm,BASELINE recency,1.4921286789869952,,0.7018060568237057,1.965752794353954,1.7463607414126643,1.5286526889392067
2018,midterm,BASELINE lifetime $,1.4921286789869952,,0.6321723496078825,1.6980944897655805,1.671767443412626,1.5374317424291664
2018,midterm,BASELINE seasonal yrs,1.4921286789869952,,0.6718649665311103,1.3514550461183432,1.3865577745889495,1.3848956880411192
2018,midterm,last 4y,1.4921286789869952,26363.0,0.8695455151480251,2.7643398670602477,2.7007161717072736,2.509711916442187
2018,midterm,last 2y,1.4921286789869952,26363.0,0.8695455151480251,2.7643398670602477,2.7007161717072736,2.509711916442187
2018,midterm,recency-weighted,1.4921286789869952,26363.0,0.8698616318333938,2.75117634388377,2.707297933295512,2.505322389697207
2020,presidential,all (2017+),3.4934976043805612,48421.0,0.8714056666212711,3.0521349610457382,2.9665487779275446,2.717690491630027
2020,presidential,BASELINE recency,3.4934976043805612,,0.7547508898808204,2.4464481266708287,2.2054901034303755,1.7558334644324813
2020,presidential,BASELINE lifetime $,3.4934976043805612,,0.6875663047079218,2.0804026050268623,1.8855294496192825,1.6603719524929577
2020,presidential,BASELINE seasonal yrs,3.4934976043805612,,0.7256548109674068,2.54651812539364,2.5649520725267894,2.1831060247686946
2020,presidential,last 4y,3.4934976043805612,48421.0,0.8714056666212711,3.0521349610457382,2.9665487779275446,2.717690491630027
2020,presidential,last 2y,2.001368925393566,37580.0,0.8655722270133727,3.0626686451218235,2.971815619965587,2.724274044177581
2020,presidential,recency-weighted,3.4934976043805612,48421.0,0.8722451087715835,3.060035224102802,2.979715883022651,2.715715425865761
2022,midterm,all (2017+),5.492128678986996,76768.0,0.8892507728555801,4.289897993253078,4.109282158858125,3.3465853479605534
2022,midterm,BASELINE recency,5.492128678986996,,0.8059163301027837,3.017672147138667,2.8385784771053526,2.220753616337589
2022,midterm,BASELINE lifetime $,5.492128678986996,,0.7126366914720864,2.5492076767002767,2.275142045720119,1.9586143377495602
2022,midterm,BASELINE seasonal yrs,5.492128678986996,,0.7744792145166277,3.935577150129625,3.451939655575353,2.626148146943113
2022,midterm,last 4y,4.0,68243.0,0.8886375217576147,4.27563003983871,4.131867163491711,3.356690490219049
2022,midterm,last 2y,1.998631074606434,53429.0,0.8767892097423259,4.270874055367255,4.135433216854908,3.304381518528013
2022,midterm,recency-weighted,5.492128678986996,76768.0,0.8895493965917515,4.266118070895799,4.134244532400509,3.3602570110161647
2024,presidential,all (2017+),7.493497604380561,94671.0,0.8783194029917106,4.28653185806944,4.039488744753911,3.221098817245326
2024,presidential,BASELINE recency,7.493497604380561,,0.7911157752814965,3.0122090805036246,2.8481495612361694,2.217665013353682
2024,presidential,BASELINE lifetime $,7.493497604380561,,0.7126345896470548,2.5391072109881727,2.2911102632582985,1.9372376955360548
2024,presidential,BASELINE seasonal yrs,7.493497604380561,,0.7592192143080465,3.7294925600915683,3.136207554368562,2.4923693246852348
2024,presidential,last 4y,4.0,74705.0,0.8756529170863545,4.238840137352156,4.043304082411294,3.2134681419305613
2024,presidential,last 2y,2.001368925393566,47765.0,0.8407537620360671,4.267455169782526,4.050934757726059,3.1519458222052656
2024,presidential,recency-weighted,7.493497604380561,94671.0,0.8778668326193125,4.261732163296452,4.044257916825639,3.216329645173598
